time,open,high,low,close,tick_volume,spread,real_volume
2024-01-08 01:00:00,7661.45,7671.75,7659.45,7664.7,669,540,0
2024-01-08 02:00:00,7666.7,7672.7,7664.7,7668.7,27,860,0
2024-01-08 03:00:00,7681.1,7694.9,7680.1,7680.1,514,110,0
2024-01-08 04:00:00,7680.4,7680.8,7674.5,7675.1,350,110,0
2024-01-08 05:00:00,7675.2,7675.5,7668.0,7668.9,326,110,0
2024-01-08 06:00:00,7668.9,7671.5,7668.1,7671.3,164,110,0
2024-01-08 07:00:00,7671.2,7672.1,7667.0,7667.4,292,110,0
2024-01-08 08:00:00,7667.5,7672.0,7656.8,7656.8,641,110,0
2024-01-08 09:00:00,7657.1,7663.9,7652.4,7653.7,1055,110,0
2024-01-08 10:00:00,7654.1,7677.8,7653.3,7666.3,4552,110,0
2024-01-08 11:00:00,7665.9,7670.3,7632.1,7661.6,3274,110,0
2024-01-08 12:00:00,7661.2,7670.0,7657.0,7660.2,2431,110,0
2024-01-08 13:00:00,7660.3,7669.7,7650.2,7664.4,1902,110,0
2024-01-08 14:00:00,7664.7,7680.1,7661.8,7680.1,1426,110,0
2024-01-08 15:00:00,7680.0,7685.1,7673.0,7675.8,2014,110,0
2024-01-08 16:00:00,7675.9,7683.3,7667.8,7682.8,3379,110,0
2024-01-08 17:00:00,7682.3,7687.9,7672.3,7682.2,2849,110,0
2024-01-08 18:00:00,7682.7,7697.2,7674.9,7696.3,2150,110,0
2024-01-08 19:00:00,7696.4,7702.3,7695.9,7701.9,1186,110,0
2024-01-08 20:00:00,7702.0,7706.7,7699.0,7706.0,839,110,0
2024-01-08 21:00:00,7706.1,7713.1,7704.1,7711.5,995,110,0
2024-01-08 22:00:00,7711.8,7724.1,7710.9,7719.9,1562,110,0
2024-01-08 23:00:00,7717.7,7719.2,7710.2,7711.7,24,810,0
2024-01-09 01:00:00,7708.7,7708.7,7708.7,7708.7,15,860,0
2024-01-09 02:00:00,7708.7,7710.7,7706.7,7706.7,22,860,0
2024-01-09 03:00:00,7715.6,7719.8,7713.1,7713.5,482,110,0
2024-01-09 04:00:00,7713.6,7717.6,7712.7,7716.1,302,110,0
2024-01-09 05:00:00,7716.2,7718.0,7712.9,7714.7,269,110,0
2024-01-09 06:00:00,7714.8,7714.8,7708.5,7710.9,233,110,0
2024-01-09 07:00:00,7711.0,7712.1,7709.8,7710.4,303,110,0
2024-01-09 08:00:00,7710.5,7717.1,7709.7,7716.0,366,110,0
2024-01-09 09:00:00,7715.9,7716.2,7705.6,7705.8,796,110,0
2024-01-09 10:00:00,7705.8,7715.6,7689.5,7697.0,4089,110,0
2024-01-09 11:00:00,7696.8,7699.0,7674.5,7693.2,2683,110,0
2024-01-09 12:00:00,7693.1,7700.7,7688.9,7694.1,2284,110,0
2024-01-09 13:00:00,7694.0,7696.5,7681.0,7683.4,1944,110,0
2024-01-09 14:00:00,7683.7,7694.6,7681.1,7689.8,1687,110,0
2024-01-09 15:00:00,7689.7,7690.5,7675.3,7689.0,2151,110,0
2024-01-09 16:00:00,7688.8,7693.5,7678.8,7681.6,3916,110,0
2024-01-09 17:00:00,7681.8,7693.5,7671.8,7680.6,3412,110,0
2024-01-09 18:00:00,7680.4,7686.1,7676.8,7682.2,2194,110,0
