time,open,high,low,close,volume,turnover
2020-03-25 10:00:00,6500.0,6591.5,6500.0,6591.5,0.004,26.366
2020-03-25 11:00:00,6591.5,6628.5,6457.5,6511.5,438.873,2857721.5395
2020-03-25 12:00:00,6511.5,6588.5,6502.0,6583.5,529.318,3484765.053
2020-03-25 13:00:00,6583.5,6745.5,6562.0,6585.0,449.162,2957731.77
2020-03-25 14:00:00,6585.0,6640.0,6516.0,6590.0,258.831,1705696.29
2020-03-25 15:00:00,6590.0,6662.0,6590.0,6615.0,20.693,136884.195
2020-03-25 16:00:00,6615.0,6695.5,6601.5,6664.5,23.185,154516.4325
2020-03-25 17:00:00,6664.5,6677.5,6635.5,6650.0,16.523,109877.95
2020-03-25 18:00:00,6650.0,6652.5,6592.5,6652.5,17.288,115008.42
2020-03-25 19:00:00,6652.5,6671.5,6597.5,6622.0,10.834,71742.748
2020-03-25 20:00:00,6622.0,6638.0,6573.0,6590.0,20.314,133869.26
2020-03-25 21:00:00,6590.0,6602.0,6556.0,6588.0,9.025,59456.7
2020-03-25 22:00:00,6588.0,6692.5,6588.0,6681.0,12.434,83071.554
2020-03-25 23:00:00,6681.0,6698.5,6650.0,6698.5,3.036,20336.646
2020-03-26 00:00:00,6698.5,6767.0,6698.5,6738.5,27.19,183219.815
2020-03-26 01:00:00,6738.5,6738.5,6675.0,6688.0,80.82,540524.16
2020-03-26 02:00:00,6688.0,6698.0,6655.0,6694.0,3.376,22598.944
2020-03-26 03:00:00,6694.0,6742.0,6667.5,6726.5,258.723,1740300.2595
2020-03-26 04:00:00,6726.5,6751.0,6678.5,6692.0,191.123,1278995.116
2020-03-26 05:00:00,6692.0,6708.5,6613.5,6625.0,185.905,1231620.625
2020-03-26 06:00:00,6625.0,6666.0,6585.0,6636.0,160.821,1067208.156
2020-03-26 07:00:00,6636.0,6636.0,6555.0,6582.0,206.572,1359656.904
2020-03-26 08:00:00,6582.0,6623.5,6566.0,6610.5,153.397,1014030.8685
2020-03-26 09:00:00,6610.5,6641.5,6600.0,6616.5,155.435,1028435.6775
2020-03-26 10:00:00,6616.5,6638.5,6585.5,6616.0,174.321,1153307.736
2020-03-26 11:00:00,6616.0,6665.0,6590.0,6598.5,156.592,1033272.312
2020-03-26 12:00:00,6598.5,6631.0,6571.5,6620.5,138.187,914867.0335
2020-03-26 13:00:00,6620.5,6675.5,6512.0,6626.5,218.401,1447234.2265
2020-03-26 14:00:00,6626.5,6631.5,6582.0,6591.5,149.487,985343.5605
