time,open,high,low,close,tick_volume,spread,real_volume
2024-02-21 22:00:00,1.26319,1.2638,1.26247,1.26335,4437,0,0
2024-02-21 23:00:00,1.26336,1.26379,1.26287,1.26366,3490,0,0
2024-02-22 00:00:00,1.2637,1.2637399999999999,1.26276,1.2636,339,7,0
2024-02-22 01:00:00,1.2636,1.26409,1.26352,1.26383,1655,0,0
2024-02-22 02:00:00,1.26383,1.2647,1.2637399999999999,1.26458,2191,0,0
2024-02-22 03:00:00,1.26458,1.26463,1.26379,1.26396,2637,0,0
2024-02-22 04:00:00,1.26396,1.26404,1.26312,1.26394,2160,0,0
2024-02-22 05:00:00,1.26394,1.26406,1.26352,1.26371,1927,0,0
2024-02-22 06:00:00,1.2637,1.2641499999999999,1.26343,1.26401,1799,0,0
2024-02-22 07:00:00,1.264,1.26485,1.26395,1.26452,1616,0,0
2024-02-22 08:00:00,1.2645,1.26511,1.26447,1.26482,2061,0,0
2024-02-22 09:00:00,1.26486,1.26759,1.26464,1.26739,5301,0,0
2024-02-22 10:00:00,1.2674,1.27093,1.26719,1.27013,8745,0,0
2024-02-22 11:00:00,1.27016,1.2702,1.26704,1.26759,6446,0,0
2024-02-22 12:00:00,1.26758,1.26901,1.26716,1.26794,5359,0,0
2024-02-22 13:00:00,1.26794,1.26806,1.26671,1.2680500000000001,3800,0,0
2024-02-22 14:00:00,1.2680500000000001,1.26827,1.2666,1.2669000000000001,3862,0,0
2024-02-22 15:00:00,1.2669000000000001,1.2671299999999999,1.26262,1.26282,8298,0,0
2024-02-22 16:00:00,1.26282,1.26327,1.26117,1.26307,9162,0,0
2024-02-22 17:00:00,1.26304,1.26309,1.26115,1.26207,8846,0,0
2024-02-22 18:00:00,1.26207,1.26485,1.26207,1.2645,5649,0,0
2024-02-22 19:00:00,1.26451,1.2659799999999999,1.26396,1.26563,4333,0,0
2024-02-22 20:00:00,1.26563,1.2663,1.26444,1.26614,4962,0,0
2024-02-22 21:00:00,1.26614,1.26645,1.26559,1.26589,3155,0,0
2024-02-22 22:00:00,1.2658800000000001,1.26617,1.26546,1.2661,3107,0,0
2024-02-22 23:00:00,1.2661,1.26617,1.26585,1.26603,1222,0,0
2024-02-23 00:00:00,1.26602,1.26602,1.26515,1.26569,680,6,0
2024-02-23 01:00:00,1.2656800000000001,1.26647,1.2656800000000001,1.26615,1371,0,0
2024-02-23 02:00:00,1.26614,1.26663,1.26482,1.26574,3108,0,0
2024-02-23 03:00:00,1.26573,1.26663,1.26572,1.2662499999999999,2671,0,0
2024-02-23 04:00:00,1.26627,1.2665899999999999,1.26604,1.2662499999999999,1924,0,0
2024-02-23 05:00:00,1.2662499999999999,1.26644,1.26575,1.26642,2124,0,0
2024-02-23 06:00:00,1.26641,1.26661,1.26635,1.2665,2358,0,0
2024-02-23 07:00:00,1.26651,1.26657,1.26605,1.26618,3485,0,0
2024-02-23 08:00:00,1.26616,1.26678,1.26593,1.26642,3346,0,0
2024-02-23 09:00:00,1.26643,1.26722,1.2661,1.26696,5110,0,0
2024-02-23 10:00:00,1.26697,1.2677100000000001,1.26638,1.26667,5349,0,0
2024-02-23 11:00:00,1.26668,1.26677,1.2649,1.2656,5008,0,0
2024-02-23 12:00:00,1.2656,1.26756,1.2656,1.26737,4594,0,0
2024-02-23 13:00:00,1.26737,1.26847,1.26722,1.26803,4825,0,0
2024-02-23 14:00:00,1.26803,1.27014,1.26796,1.2699099999999999,4871,0,0
2024-02-23 15:00:00,1.26993,1.26993,1.2682,1.26935,5815,0,0
2024-02-23 16:00:00,1.26936,1.27002,1.26833,1.26902,6490,0,0
2024-02-23 17:00:00,1.26902,1.26905,1.2667,1.26773,6442,0,0
2024-02-23 18:00:00,1.26773,1.26801,1.26654,1.26763,5879,0,0
2024-02-23 19:00:00,1.26763,1.2684199999999999,1.2674400000000001,1.2678,4154,0,0
2024-02-23 20:00:00,1.2678,1.26859,1.26765,1.26806,3062,0,0
2024-02-23 21:00:00,1.26807,1.26807,1.2671299999999999,1.26745,2726,0,0
2024-02-23 22:00:00,1.26746,1.26753,1.26663,1.26696,3184,0,0
2024-02-23 23:00:00,1.26695,1.26724,1.26667,1.26694,1732,0,0
2024-02-26 00:00:00,1.2662,1.26757,1.26608,1.26702,360,24,0
2024-02-26 01:00:00,1.26745,1.26749,1.2668300000000001,1.26702,1890,0,0
2024-02-26 02:00:00,1.26704,1.26729,1.26619,1.26624,3869,0,0
2024-02-26 03:00:00,1.26624,1.26668,1.26608,1.26618,3079,0,0
2024-02-26 04:00:00,1.26618,1.26642,1.26579,1.26586,2220,0,0
2024-02-26 05:00:00,1.26586,1.26607,1.26567,1.26585,1729,0,0
2024-02-26 06:00:00,1.26585,1.26701,1.26576,1.26662,1721,0,0
2024-02-26 07:00:00,1.26661,1.26703,1.2664,1.26666,2143,0,0
2024-02-26 08:00:00,1.26667,1.26691,1.26628,1.26663,2359,0,0
2024-02-26 09:00:00,1.26664,1.26782,1.2665899999999999,1.26766,5293,0,0
2024-02-26 10:00:00,1.26766,1.26773,1.26667,1.26708,5946,0,0
2024-02-26 11:00:00,1.26708,1.2681200000000001,1.26666,1.26792,5253,0,0
