time,open,high,low,close,tick_volume,spread,real_volume
2025-09-19 04:10:00,1.35446,1.3544800000000001,1.35427,1.35434,65,1,0
2025-09-19 04:11:00,1.35435,1.3544399999999999,1.3543,1.35436,56,1,0
2025-09-19 04:12:00,1.35436,1.35436,1.35422,1.35425,70,1,0
2025-09-19 04:13:00,1.35425,1.35427,1.35415,1.35425,38,1,0
2025-09-19 04:14:00,1.35423,1.35433,1.35423,1.35431,69,1,0
2025-09-19 04:15:00,1.35437,1.35438,1.3542100000000001,1.35432,90,1,0
2025-09-19 04:16:00,1.35431,1.35432,1.35408,1.35412,90,1,0
2025-09-19 04:17:00,1.35413,1.35418,1.35411,1.35415,98,1,0
2025-09-19 04:18:00,1.35416,1.3541699999999999,1.354,1.35404,67,1,0
2025-09-19 04:19:00,1.35403,1.35408,1.35395,1.35407,77,1,0
2025-09-19 04:20:00,1.35406,1.3541,1.35404,1.35409,42,1,0
2025-09-19 04:21:00,1.35409,1.35416,1.35402,1.35411,61,1,0
2025-09-19 04:22:00,1.35411,1.3542399999999999,1.35411,1.35418,41,1,0
2025-09-19 04:23:00,1.35418,1.35426,1.3541400000000001,1.35426,57,1,0
2025-09-19 04:24:00,1.35426,1.35431,1.35426,1.3543,35,1,0
2025-09-19 04:25:00,1.3543,1.35438,1.3541400000000001,1.35416,73,1,0
2025-09-19 04:26:00,1.35416,1.35426,1.3541400000000001,1.3542399999999999,42,1,0
2025-09-19 04:27:00,1.3542100000000001,1.35431,1.3542100000000001,1.35427,31,1,0
2025-09-19 04:28:00,1.35428,1.35436,1.35428,1.35433,56,1,0
2025-09-19 04:29:00,1.35434,1.35436,1.35426,1.35429,77,1,0
2025-09-19 04:30:00,1.3543,1.35437,1.35423,1.35425,66,1,0
2025-09-19 04:31:00,1.3542399999999999,1.35428,1.3541699999999999,1.3542100000000001,79,1,0
2025-09-19 04:32:00,1.35422,1.35463,1.35422,1.35461,85,1,0
2025-09-19 04:33:00,1.35462,1.35469,1.35452,1.35467,160,1,0
2025-09-19 04:34:00,1.35466,1.3547500000000001,1.35456,1.35462,91,1,0
2025-09-19 04:35:00,1.35462,1.35468,1.35461,1.35466,58,1,0
2025-09-19 04:36:00,1.35465,1.35468,1.3545,1.3546,78,1,0
2025-09-19 04:37:00,1.35459,1.3546,1.3545,1.35455,73,1,0
2025-09-19 04:38:00,1.35456,1.35462,1.3545099999999999,1.3546,74,1,0
2025-09-19 04:39:00,1.35458,1.35463,1.35449,1.3546,68,1,0
2025-09-19 04:40:00,1.35459,1.35467,1.35459,1.35466,88,1,0
