time,open,high,low,close,tick_volume,spread,real_volume
2025-06-25 14:10:00,145.701,145.718,145.693,145.716,351,0,0
2025-06-25 14:20:00,145.715,145.796,145.713,145.768,519,0,0
2025-06-25 14:30:00,145.768,145.796,145.741,145.774,474,0,0
2025-06-25 14:40:00,145.774,145.797,145.715,145.766,430,0,0
2025-06-25 14:50:00,145.765,145.78,145.719,145.748,506,0,0
2025-06-25 15:00:00,145.748,145.797,145.738,145.769,524,0,0
2025-06-25 15:10:00,145.769,145.776,145.718,145.768,423,0,0
2025-06-25 15:20:00,145.769,145.796,145.737,145.786,458,0,0
2025-06-25 15:30:00,145.786,145.79,145.698,145.759,746,0,0
2025-06-25 15:40:00,145.759,145.899,145.749,145.887,815,0,0
2025-06-25 15:50:00,145.887,145.92,145.841,145.859,755,0,0
2025-06-25 16:00:00,145.859,145.95,145.859,145.922,668,0,0
2025-06-25 16:10:00,145.922,145.944,145.861,145.862,509,0,0
2025-06-25 16:20:00,145.862,145.873,145.822,145.845,482,1,0
2025-06-25 16:30:00,145.845,145.898,145.799,145.834,768,0,0
2025-06-25 16:40:00,145.834,145.877,145.756,145.877,894,0,0
2025-06-25 16:50:00,145.877,145.906,145.843,145.865,717,0,0
2025-06-25 17:00:00,145.865,145.874,145.631,145.631,1215,0,0
2025-06-25 17:10:00,145.632,145.821,145.582,145.809,1195,0,0
2025-06-25 17:20:00,145.81,145.81,145.639,145.64,1029,0,0
2025-06-25 17:30:00,145.64,145.706,145.593,145.606,863,0,0
2025-06-25 17:40:00,145.606,145.652,145.572,145.639,934,0,0
2025-06-25 17:50:00,145.637,145.725,145.593,145.7,1298,0,0
2025-06-25 18:00:00,145.7,145.734,145.627,145.685,1176,0,0
2025-06-25 18:10:00,145.684,145.684,145.6,145.664,633,0,0
2025-06-25 18:20:00,145.664,145.672,145.617,145.623,518,0,0
2025-06-25 18:30:00,145.623,145.666,145.553,145.565,624,0,0
2025-06-25 18:40:00,145.566,145.573,145.525,145.573,683,0,0
2025-06-25 18:50:00,145.573,145.597,145.545,145.594,450,0,0
2025-06-25 19:00:00,145.594,145.603,145.452,145.463,632,0,0
2025-06-25 19:10:00,145.463,145.498,145.452,145.484,368,0,0
2025-06-25 19:20:00,145.483,145.489,145.417,145.428,413,0,0
2025-06-25 19:30:00,145.428,145.452,145.394,145.433,415,0,0
2025-06-25 19:40:00,145.433,145.45,145.392,145.411,425,0,0
2025-06-25 19:50:00,145.406,145.473,145.404,145.45,398,0,0
2025-06-25 20:00:00,145.449,145.495,145.434,145.446,602,0,0
2025-06-25 20:10:00,145.45,145.507,145.441,145.463,606,0,0
2025-06-25 20:20:00,145.463,145.482,145.43,145.444,415,0,0
2025-06-25 20:30:00,145.444,145.453,145.409,145.442,431,0,0
2025-06-25 20:40:00,145.442,145.456,145.403,145.406,511,1,0
2025-06-25 20:50:00,145.406,145.428,145.366,145.392,827,0,0
2025-06-25 21:00:00,145.392,145.402,145.347,145.367,371,0,0
